ID,Type,REF,Name,Parent,SKU
29807,simple,C_A0360,AMP 5 Injection 20ml,,A0360
29806,simple,C_A1190,AMP 5 Paste 250g,,A1190
28180,simple,C_A1330,Dermcare Aloveen Oatmeal Shampoo & Conditioner Starter Twin Pack,,A1330
30082,simple,C_A1340,Alfalfa King Alfalfa Hay 454g,,A1340
30081,simple,C_A1343,Alfalfa King Oat Wheat & Barley Hay 454g,,A1343
29825,simple,C_A3214,Adaptil Pheromone Spray for Dogs 60ml,,A3214
29836,simple,C_A3215,Feliscratch By Feliway 80g Redirects Cat Scratching,,A3215
29362,simple,C_A4140,Avitrol Plus Bird Wormer Tablets 100 Pack,,A4140
30067,simple,C_A5258,Applaws Wet Dog Food Chicken & Vegetables in Ginseng Broth Pouches 150g x 12,,A5258
30066,simple,C_A5259,Applaws Wet Dog Food Chicken & Beef with Baby Corn & Broccoli Pouches 150g x 12,,A5259
30065,simple,C_A5260,Applaws Wet Dog Food Chicken & Salmon with Kelp Pouches 150g x 12,,A5260
30044,simple,C_A5263,Applaws Wet Kitten Food Chicken Breast 70g Tin x 24,,A5263
30043,simple,C_A5265,Applaws Wet Cat Food Chicken Breast 70g Tin x 24,,A5265
30042,simple,C_A5268,Applaws Wet Cat Food Ocean Fish 70g Tins x 24,,A5268
30041,simple,C_A5269,Applaws Wet Cat Food Tuna Fillet 70g Tins x 24,,A5269
30049,simple,C_A5282,Applaws Cat Food Chicken Breast with Liver in Jelly Pouches 70g x 16,,A5282
30048,simple,C_A5283,Applaws Wet Cat Food Tender Tuna in Jelly Pouches 70g x 16,,A5283
30052,simple,C_A5292,Applaws Wet Cat Food Tuna Fillet with Sea Bream Pouches 70g x 16,,A5292
30051,simple,C_A5294,Applaws Wet Cat Food Chicken Breast with Pumpkin Pouches 70g x 16,,A5294
30040,simple,C_A5295,Applaws Wet Cat Food Tuna Fillet with Prawn 70g Tins x 24,,A5295
30050,simple,C_A5296,Applaws Wet Cat Food Tuna Fillet with Whole Anchovy Pouches 70g x 16,,A5296
30045,simple,C_A5319,Applaws Wet Cat Food Tuna Topped with Anchovy Layers 70g x 10,,A5319
30046,simple,C_A5320,Applaws Wet Cat Food Tuna Topped with Prawn Layers 70g x 10,,A5320
30047,simple,C_A5321,Applaws Cat Food Chicken with Lamb Layers 70g x 10,,A5321
30039,simple,C_A5325,Applaws Cat Tuna Loin Treat 30g x 18,,A5325
30038,simple,C_A5327,Applaws Cat Mackerel Loin Treat 30g x 18,,A5327
30037,simple,C_A5328,Applaws Cat Salmon Loin Treat 30g x 18,,A5328
28985,simple,C_A7470,Vetafarm Avicare Ready To Use Spray 400ml,,A7470
28965,simple,C_A8996,Vetafarm Avimec Scaly Face Treatment 50ml,,A8996
29810,simple,C_A9502,Ammo Horse Rotational Wormer Paste 32.6g,,A9502
28488,simple,C_AD040,Aussie Dog Toys Catch Ball Hard Red 9cm,,AD040
28487,simple,C_AD041,Aussie Dog Toys Catch Ball Soft Blue 9cm,,AD041
28466,simple,C_AD047,Aussie Dog Toys Mitch Ball Hard Red 18cm,,AD047
28465,simple,C_AD048,Aussie Dog Toys Mitch Ball Soft Blue 18cm,,AD048
28452,simple,C_AD049,Aussie Dog Staffie Ball 24cm,,AD049
28451,simple,C_AD054,Aussie Dog Toys Standard Chook,,AD054
28489,simple,C_AD055,Aussie Dog Toys Bungie Chook Standard,,AD055
28475,simple,C_AD056,Aussie Dog Toys Heavy Duty Chook,,AD056
28476,simple,C_AD057,Aussie Dog Toys Heavy Duty Bungie Chook,,AD057
28484,simple,C_AD058,Aussie Dog Toys Fly It Disc Floppy Blue 24cm Frisbee,,AD058
28483,simple,C_AD059,Aussie Dog Fly It Disc Hard Red 24cm Frisbee,,AD059
28445,simple,C_AD081,Aussie Dog Tugathong Tug It Toy Large,,AD081
28464,simple,C_AD089,Aussie Dog Toys Monster Treat Toy Blue,,AD089
28462,simple,C_AD090,Aussie Dog Monster Treat Toy Pink,,AD090
28461,simple,C_AD091,Aussie Dog Monster Treat Toy Yellow,,AD091
28463,simple,C_AD092,Aussie Dog Monster Treat Toy Green,,AD092
28579,simple,C_B0201,Bravecto Chews Very Small Dog (2-4.5kg) Yellow 1 Pack,,B0201
28581,simple,C_B0202,Bravecto Chews Small Dog (4.5-10kg) Orange 1 Pack,,B0202
28587,simple,C_B0203,Bravecto Chews Medium Dog (10-20kg) Green 1 Pack,,B0203
28588,simple,C_B0204,Bravecto Chews Large Dog (20-40kg) Blue 1 pack,,B0204
28580,simple,C_B0205,Bravecto Chews Very Large Dog (40-56kg) Purple / Pink 1 Pack,,B0205
28574,simple,C_B0206,Bravecto Spot On Small Cat (1.2 - 2.8kg) Green,,B0206
28575,simple,C_B0207,Bravecto Spot On Medium Cat (2.8 - 6.25kg) Blue,,B0207
28573,simple,C_B0208,Bravecto Spot On Large Cat (6.25 - 12.5kg) Purple,,B0208
28568,simple,C_B0209,Bravecto Spot On Very Small Dog (2 - 4.5kg) Yellow,,B0209
28570,simple,C_B0210,Bravecto Spot On Small Dog (4.5 - 10kg) Orange,,B0210
28571,simple,C_B0211,Bravecto Spot On Medium Dog (10 - 20kg) Green,,B0211
28572,simple,C_B0212,Bravecto Spot On Large Dog (20 - 40 kg) Blue,,B0212
28569,simple,C_B0213,Bravecto Spot On Very Large Dog (40 - 56kg) Pink,,B0213
28577,simple,C_B0215,Bravecto Plus for Small Cats Green 1.2 - 2.8kg,,B0215
28578,simple,C_B0216,Bravecto Plus for Medium Cats Blue 2.8 - 6.25kg,,B0216
